metric,value,percentage
total_records,100,
valid_records,96,
invalid_records,4,
invalid_missing_location_id,1,
invalid_invalid_category,1,
invalid_empty_description,1,
invalid_missing_reporter_id,0,
invalid_closed_no_score,1,
invalid_score_out_of_range,0,
category_CUSTOMER_COMPLAINT,29,30.2
category_EQUIPMENT,17,17.7
category_SUPPLY,22,22.9
category_FOOD_QUALITY,19,19.8
category_STAFF,9,9.4
status_OPEN,32,33.3
status_CLOSED,50,52.1
status_DISCARDED,14,14.6
satisfaction_scored_cases,50,
satisfaction_average,3.46,
satisfaction_score_1,4,
satisfaction_score_2,6,
satisfaction_score_3,12,
satisfaction_score_4,19,
satisfaction_score_5,9,
